video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,3,hdumb,72331,6492047,89.75469715612947,26.62402575292005,78.0,546,31533,2740732,86.91630989756763,23.771392444514056,77.0,546,40798,3751315,91.94850237756752,28.44166009760008,82.0,359,0.006281283963956038,0.004844307294554156,0.005179882049560547,0.10438013076782227
False,3,hdumb,66143,6044641,91.38746352599671,29.38110315583165,80.0,547,31436,2701048,85.92212749713704,26.778318320123407,75.0,547,34707,3343593,96.3377128533149,30.726329435329284,109.0,359,0.006287179191180399,0.005071526783714435,0.00514984130859375,0.13299894332885742
False,3,hdumb,64748,5871180,90.67739544078582,27.837223535999424,78.0,546,31432,2715573,86.39517052685162,23.825391542180512,75.0,546,33316,3155607,94.71746308080202,30.608029873227448,104.0,359,0.006282568675767552,0.0049097647832274495,0.005262851715087891,0.03895711898803711
False,8,hdumb,343012,29201537,85.13269798141172,22.277256240885993,77.0,547,84033,6601521,78.55867337831566,19.122478528767168,75.0,547,258979,22600016,87.26582464215245,22.80533456071897,78.0,359,0.0023162261287129208,0.0020087803963429545,0.0018169879913330078,0.03128790855407715
False,8,hdumb,318825,26882146,84.31630518309417,21.738617369934204,77.0,547,83843,6541336,78.01886859964458,17.830672992926672,74.0,547,234982,20340810,86.56326867589858,22.5509332950095,78.0,359,0.002320683510634898,0.0021760714769400594,0.0017549991607666016,0.0549318790435791
False,8,hdumb,336718,28341634,84.1702374093455,21.254368193557948,77.0,547,84417,6598874,78.16996576518947,17.892632982579517,73.0,547,252301,21742760,86.17785898589383,21.902173118216037,78.0,359,0.0023262836067309608,0.0020344081153503926,0.001854538917541504,0.04524993896484375
True,3,hdumb,212234,97958861,461.56064061366226,412.5902385333986,336.0,1214,119844,69615316,580.8827809485665,442.8587165661342,674.0,1214,92390,28343545,306.7815239744561,306.9519236539167,123.0,1214,0.0016526991821887735,0.0016646002338343761,0.0011980533599853516,0.03516387939453125
True,3,hdumb,210195,97669212,464.6600156997074,412.8005101281715,342.0,1214,119614,69496427,581.0057936361965,442.75991837774956,674.0,1214,90581,28172785,311.02311743080776,308.3482111435624,125.0,1214,0.0016520871553434336,0.0016962109735017608,0.0011899471282958984,0.04183816909790039
True,3,hdumb,214818,98061192,456.48498729156773,411.96846002717854,325.0,1214,119695,69520271,580.8118217135219,442.5752378302593,673.0,1214,95123,28540921,300.0422715852107,304.7684624433948,122.0,1214,0.0016533170668330311,0.0016874765811411335,0.0011909008026123047,0.03700709342956543
True,5,hdumb,437896,203677197,465.12687259075216,408.2384936580823,360.0,1214,196392,114826183,584.6785154181433,454.35420413622137,697.0,1214,241504,88851014,367.90700775142443,336.5060247948829,134.0,1214,0.0010065164545693408,0.0010966428926507384,0.0006952285766601562,0.03966689109802246
True,5,hdumb,432271,202808268,469.16926650180096,408.3669270484471,371.0,1214,196067,114501108,583.9896973993584,454.77658769386704,695.0,1214,236204,88307160,373.85971448409003,336.8760903127136,232.0,1214,0.001004571195182961,0.0010642431443506522,0.0007050037384033203,0.0379481315612793
True,5,hdumb,432485,203134157,469.69064129391774,408.3953707409251,373.0,1214,196277,114736708,584.5652216000856,454.32505438334704,698.0,1214,236208,88397449,374.23562707444285,337.3195246094983,235.0,1214,0.0010063062162352064,0.0011161811366533646,0.0006949901580810547,0.04416012763977051
True,8,hdumb,929077,424205457,456.58805136710953,399.7378409100934,355.0,1214,311747,181279512,581.4956102223919,460.7091900065062,703.0,1214,617330,242925945,393.51067500364474,348.4821381166027,209.0,1214,0.000627534829843599,0.000834746151532653,0.0004049539566040039,0.2002859115600586
