video_on,num_clients,topology,vpn,vpn_topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,3,hdumb,ipsec,sts,78058,19889600,254.80540111199363,355.6956741503671,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,sts,78752,20023796,254.26396789922796,356.1376367182015,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,sts,78322,20024832,255.67314419958632,354.03998406813196,148.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,ipsec,sts,369923,76635896,207.1671564082255,274.104510345399,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,ipsec,sts,354597,74016220,208.73335081797083,279.48559096888636,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,ipsec,sts,393865,80634616,204.72653320300103,265.9961605595565,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,215523,119033872,552.3024085596433,436.7496484358289,424.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,209456,117343088,560.2278664731494,437.3985896300428,444.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,213129,118834316,557.5699036733621,437.4447854651453,436.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,453809,246537384,543.2624386030246,426.01607145966085,428.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,466132,247352992,530.6500991135558,426.8287077890224,396.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,439779,243290240,553.2102260453546,428.27546127748326,460.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,ipsec,sts,878995,493320440,561.2323619588279,418.1922842854646,532.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,ipsec,sts,922289,500443596,542.6103921872646,417.08343723258355,468.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,ipsec,sts,992056,509350016,513.4286935414937,415.7073762066258,360.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,163498,37876008,231.66037505045932,322.3646284897377,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,175521,39700660,226.18752172104763,311.96665414655536,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,161940,37686496,232.7188835371125,323.5583299638793,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,ptp,9750,1094505,112.25692307692307,99.45309335043937,88.0,1480,1147,70187,61.19180470793374,56.791171632230636,56.0,546,1441,100922,70.03608605135322,32.49081198676415,52.0,358,0.1711124190069202,0.21384245497437734,0.09040403366088867,1.0951290130615234
False,3,hdumb,ipsec,ptp,9217,1030891,111.84669632201367,94.32721977455638,88.0,1480,1070,55999,52.33551401869159,38.517433158579266,28.0,545,997,73476,73.69709127382147,35.26609293369377,52.0,358,0.18365550331137134,0.23186384956834247,0.07271909713745117,1.2806580066680908
False,3,hdumb,ipsec,ptp,9610,1005746,104.65619146722165,90.91196702538205,88.0,1480,1300,74369,57.206923076923076,39.513450976562645,56.0,545,1306,88581,67.82618683001532,32.25239952949669,52.0,358,0.15112847433905127,0.19247038345752404,0.0780951976776123,1.0797581672668457
False,8,hdumb,ipsec,ptp,268706,22969199,85.4807819698853,31.92033817607243,77.0,1480,75506,5921850,78.42886658013933,22.65038141091131,74.0,546,172994,14794765,85.52183890770779,22.659680295637177,77.0,358,0.0025776995024880973,0.0027087659327548717,0.0017778873443603516,0.022737979888916016
False,8,hdumb,ipsec,ptp,270046,23552567,87.21687045910697,31.800847051219755,77.0,1480,73906,5815503,78.68783319351608,18.966017060003,72.0,547,173337,15250984,87.98458494147239,24.07105655485208,78.0,358,0.0026103701113073794,0.0022184517195062686,0.0020990371704101562,0.020451068878173828
False,8,hdumb,ipsec,ptp,251377,22056995,87.74468228994697,33.89654999191437,78.0,1480,74417,5680878,76.33844417270248,22.344986078109955,72.0,547,155233,14028509,90.37066216590544,26.440818682185977,78.0,358,0.002608208855206775,0.0022724316252497653,0.002054572105407715,0.03972792625427246
True,3,hdumb,ipsec,ptp,11135,1312815,117.8998652896273,125.19054969761343,88.0,1480,2611,247371,94.74186135580237,178.40015937160402,56.0,1160,1417,161876,114.23853211009174,87.23753766300831,100.0,1160,0.07512239770414272,0.08761108963912914,0.04410445690155029,0.5886979103088379
True,3,hdumb,ipsec,ptp,11022,1360177,123.40564325893668,127.26962597621086,88.0,1480,2447,230748,94.29832447895382,179.25870822330538,56.0,1202,1525,167777,110.01770491803279,72.25557277169985,100.0,1086,0.08017936789979724,0.09041792824683792,0.05149805545806885,0.5668530464172363
